A1,A2,A3,A4,Activity
0.365,0.305,0.323,0.007,108.3
0.343,0.130,0.523,0.003,126.6
0.167,0.372,0.137,0.325,165.2
0.133,0.360,0.355,0.152,87.1
0.020,0.466,0.414,0.100,25.6
0.143,0.421,0.240,0.196,74.8
0.195,0.290,0.437,0.077,83.7
0.400,0.262,0.043,0.295,92.9
0.352,0.075,0.437,0.135,136.4
0.263,0.397,0.220,0.120,117.5
0.090,0.333,0.380,0.197,147.7
0.558,0.090,0.348,0.003,195.8
0.100,0.259,0.554,0.087,90.5
0.090,0.374,0.342,0.194,104.7
0.175,0.415,0.120,0.290,120.3
0.336,0.454,0.116,0.093,124.9
0.315,0.427,0.175,0.083,144.8
0.248,0.242,0.212,0.298,179.5
0.318,0.190,0.165,0.327,134.4
0.364,0.000,0.636,0.000,127
0.435,0.000,0.232,0.333,129.4
0.530,0.115,0.125,0.230,124.6
0.325,0.000,0.520,0.155,114.2
0.280,0.038,0.363,0.318,124.3
0.667,0.000,0.000,0.333,152.2
0.425,0.152,0.113,0.310,169.8
0.555,0.142,0.055,0.248,145.9
0.358,0.092,0.231,0.319,122.9
0.319,0.154,0.301,0.227,106
0.058,0.129,0.511,0.302,25.7
0.183,0.035,0.515,0.267,57
0.581,0.147,0.110,0.162,125.4
0.230,0.335,0.205,0.230,156
0.193,0.195,0.288,0.324,134.5
0.423,0.175,0.227,0.175,131.3
0.375,0.313,0.053,0.258,127.5
0.393,0.333,0.027,0.248,119.7
0.063,0.073,0.698,0.165,18.1
0.399,0.002,0.366,0.234,108.8
0.381,0.318,0.068,0.233,138.5
0.475,0.155,0.133,0.237,144.4
0.427,0.143,0.142,0.288,184
0.167,0.115,0.452,0.267,52
0.700,0.035,0.126,0.138,117.6
0.233,0.087,0.460,0.220,70.3
0.525,0.112,0.138,0.225,124.9
0.547,0.063,0.137,0.253,122.2
0.403,0.000,0.450,0.147,41.5
0.406,0.222,0.199,0.174,141.9
0.378,0.108,0.242,0.272,51.3
0.420,0.030,0.295,0.255,137.1
0.315,0.018,0.438,0.228,89.2
0.244,0.139,0.327,0.290,104.2
0.544,0.000,0.123,0.333,169.1
0.238,0.028,0.408,0.325,70.8
0.170,0.092,0.495,0.243,75.4
0.717,0.005,0.003,0.275,128.4
0.387,0.098,0.255,0.259,187.6
0.467,0.050,0.202,0.282,143.5
0.547,0.080,0.121,0.251,152.3
0.383,0.000,0.285,0.333,109
0.627,0.098,0.077,0.198,94.8
0.482,0.048,0.162,0.308,130.8
0.392,0.092,0.342,0.175,134
0.348,0.075,0.267,0.310,151.6
0.338,0.293,0.178,0.190,168.1
0.503,0.127,0.142,0.228,146.1
0.286,0.188,0.258,0.268,120
0.410,0.060,0.245,0.285,94.1
0.345,0.073,0.318,0.263,100.2
0.315,0.130,0.333,0.222,109.4
0.433,0.078,0.278,0.210,144.6
0.234,0.035,0.481,0.250,111.5
0.416,0.000,0.516,0.068,198.6
0.407,0.098,0.423,0.072,132.6
0.468,0.000,0.303,0.228,142.5
0.503,0.083,0.263,0.150,128.5
0.301,0.246,0.339,0.113,105.6
0.633,0.085,0.150,0.132,138.1
0.640,0.102,0.168,0.090,130.8
0.828,0.000,0.000,0.172,108.2
0.617,0.170,0.130,0.083,185.2
0.675,0.102,0.047,0.177,124.1
0.564,0.000,0.329,0.106,142.1
0.691,0.130,0.022,0.158,106
0.699,0.115,0.133,0.053,101.7
0.779,0.063,0.070,0.088,111.8
0.767,0.087,0.028,0.118,110.5
0.722,0.120,0.068,0.090,122.9
0.669,0.063,0.128,0.140,183.5
0.782,0.018,0.065,0.135,129.6
0.828,0.012,0.057,0.104,103.3
0.875,0.000,0.000,0.125,85.5
0.520,0.148,0.232,0.100,150.1
0.747,0.010,0.125,0.118,128.6
0.595,0.000,0.405,0.000,167.1
0.705,0.142,0.032,0.122,138.9
0.885,0.018,0.032,0.065,142.4
0.812,0.005,0.115,0.068,136.8
0.763,0.137,0.012,0.088,144.6
0.725,0.033,0.115,0.127,117.6
0.837,0.045,0.068,0.050,125.2
0.875,0.013,0.042,0.070,121.9
0.738,0.052,0.127,0.083,160.3
0.785,0.057,0.083,0.075,150
0.120,0.417,0.373,0.090,91.3
0.040,0.235,0.523,0.202,71.2
0.457,0.283,0.082,0.178,163.6
0.412,0.440,0.003,0.145,179.1
0.272,0.388,0.283,0.057,132.9
0.397,0.422,0.137,0.045,172.1
0.258,0.233,0.247,0.262,190.8
0.460,0.005,0.447,0.088,208.1
0.236,0.334,0.253,0.176,130.1
0.459,0.154,0.174,0.214,167
0.328,0.263,0.343,0.065,134.8
0.197,0.208,0.278,0.317,111.8
0.017,0.448,0.297,0.238,52.9
0.289,0.270,0.282,0.159,141.5
0.211,0.331,0.349,0.108,160.2
0.415,0.202,0.132,0.252,207.9
0.310,0.207,0.245,0.238,135.2
0.473,0.095,0.122,0.310,155.4
0.371,0.147,0.447,0.035,127.3
0.347,0.292,0.320,0.042,132.5
0.285,0.348,0.082,0.285,130.2
0.318,0.155,0.488,0.038,150.1
0.020,0.200,0.520,0.260,80.9
0.270,0.088,0.333,0.308,162.7
0.505,0.477,0.013,0.005,164.4
0.508,0.138,0.225,0.128,158.8
0.160,0.135,0.375,0.330,83.5
0.301,0.112,0.374,0.214,114.4
0.354,0.381,0.255,0.010,132.6
0.315,0.290,0.290,0.105,153
0.262,0.332,0.230,0.177,182.8
0.255,0.313,0.107,0.325,199.7
0.038,0.437,0.215,0.310,79.4
0.340,0.220,0.280,0.160,160.7
0.195,0.333,0.325,0.147,102
0.295,0.328,0.128,0.248,124.8
0.174,0.563,0.139,0.125,108.8
0.023,0.395,0.387,0.195,65.2
0.172,0.465,0.077,0.287,163.1
0.163,0.467,0.073,0.297,195.8
0.258,0.308,0.298,0.136,132.9
0.287,0.088,0.353,0.272,137.7
0.145,0.535,0.270,0.050,91.2
0.407,0.350,0.117,0.127,126.1
0.247,0.145,0.500,0.108,103.5
0.237,0.385,0.173,0.205,141.4
0.315,0.198,0.343,0.143,196.9
0.583,0.038,0.376,0.003,207.1
0.184,0.337,0.461,0.018,98.2
0.175,0.412,0.092,0.322,137.3
0.223,0.355,0.127,0.295,141.3
0.095,0.422,0.228,0.255,87.4
0.159,0.643,0.093,0.105,110.8
0.242,0.100,0.624,0.033,131.8
0.114,0.471,0.262,0.154,125.3
0.205,0.305,0.323,0.167,186.9
0.125,0.316,0.268,0.291,115.5
0.077,0.260,0.332,0.332,77.5
0.160,0.341,0.317,0.182,110.6
0.328,0.348,0.315,0.008,132.1
0.175,0.240,0.369,0.216,95.6
0.043,0.167,0.520,0.270,64.5
0.267,0.320,0.382,0.032,173.6
0.103,0.350,0.287,0.260,149
0.315,0.317,0.065,0.303,191.2
0.063,0.213,0.510,0.213,82.3
0.052,0.300,0.462,0.187,56.9
0.278,0.257,0.372,0.093,131.8
0.406,0.274,0.237,0.083,156.6
0.215,0.220,0.337,0.228,138
0.347,0.068,0.382,0.203,173.6
0.432,0.085,0.359,0.124,244.9
0.267,0.133,0.407,0.193,194.2
0.202,0.210,0.507,0.082,145.9
0.252,0.332,0.295,0.122,168.2
0.253,0.300,0.190,0.258,160.5
0.012,0.322,0.372,0.295,75.7
0.055,0.260,0.467,0.218,102.2
0.612,0.190,0.196,0.002,220.1
0.238,0.265,0.308,0.188,276
0.175,0.444,0.200,0.180,212.6
0.200,0.314,0.218,0.268,202.1
0.033,0.412,0.388,0.167,124.5
0.072,0.347,0.335,0.247,133.9
0.065,0.302,0.340,0.293,140.5
0.463,0.203,0.292,0.042,232.8
0.432,0.033,0.293,0.242,245.1
0.207,0.528,0.177,0.088,105.1
0.175,0.508,0.100,0.217,99.1
0.415,0.483,0.082,0.020,95.7
0.250,0.750,0.000,0.000,93
0.272,0.303,0.220,0.205,102.8
0.131,0.642,0.211,0.015,100.2
0.038,0.375,0.243,0.343,92
0.102,0.407,0.199,0.292,141.6
0.293,0.455,0.205,0.047,104.7
0.070,0.368,0.368,0.193,61.1
0.037,0.433,0.195,0.335,64.6
0.018,0.238,0.717,0.027,29.8
0.327,0.328,0.260,0.085,83.8
0.025,0.331,0.391,0.254,64.7
