A1,A2,A3,A4,Activity
0.182,0.182,0.285,0.352,125.53533618164062
0.045,0.564,0.15,0.24,60.9455655090332
0.435,0.523,0.035,0.007,138.0334843261719
0.477,0.012,0.18,0.332,124.5622062072754
0.058,0.443,0.455,0.043,40.52802734375
0.17,0.3,0.215,0.315,122.94965158081055
0.198,0.243,0.12,0.438,131.91122805786134
0.381,0.092,0.306,0.221,123.4150768737793
0.315,0.23,0.17,0.285,131.2575700378418
0.043,0.575,0.34,0.042,46.27381430664062
0.36,0.273,0.122,0.245,133.5264169128418
0.082,0.49,0.342,0.087,48.92386884765625
0.28,0.286,0.326,0.108,124.79610839233398
0.549,0.052,0.337,0.062,120.56887189331054
0.185,0.215,0.022,0.578,134.88621524047852
0.063,0.422,0.143,0.372,83.77739836273193
0.175,0.368,0.368,0.09,83.54063763034344
0.338,0.005,0.278,0.378,121.89325667114258
0.158,0.491,0.288,0.063,67.64396415710449
0.275,0.367,0.14,0.217,131.14476065063477
0.252,0.205,0.48,0.063,116.21726653442383
0.292,0.212,0.165,0.332,131.10748165893554
0.088,0.215,0.541,0.156,58.967663298034665
0.339,0.08,0.248,0.333,124.99696303100586
0.465,0.297,0.043,0.195,136.26671559448243
0.187,0.202,0.252,0.36,127.0197628479004
0.13,0.112,0.446,0.312,112.26488783569336
0.168,0.414,0.336,0.082,76.36619928436279
0.228,0.246,0.25,0.276,127.82586141967774
0.293,0.485,0.167,0.055,121.0974799407959
0.502,0.11,0.205,0.183,126.39639537963868
0.158,0.238,0.535,0.068,80.27271899414063
0.483,0.087,0.363,0.067,121.08404253540039
0.205,0.179,0.371,0.245,121.99116260375976
0.02,0.193,0.302,0.485,102.17118482666015
0.01,0.02,0.85,0.12,32.40468177795411
0.225,0.303,0.222,0.25,127.14305097656249
0.043,0.441,0.133,0.383,76.68058720397948
0.212,0.335,0.21,0.243,124.42607872924805
0.39,0.09,0.282,0.238,124.0420008239746
0.0,0.0,0.0,1.0,130.71536178588866
